rgi_id,region,hydro_year,calendar_year,dmdt,dhdt
RGI60-06.00377,06,2078,2078,-2.5098044872283936,-2.327608346939087
RGI60-06.00377,06,2079,2079,-2.6263725757598877,-2.4360525608062744
RGI60-06.00377,06,2080,2080,-2.9594337940216064,-2.779191493988037
RGI60-06.00377,06,2081,2081,-2.8256523609161377,-2.653923988342285
RGI60-06.00377,06,2082,2082,-1.9287759065628052,-1.8117575645446777
RGI60-06.00377,06,2083,2083,-3.092846155166626,-2.905681610107422
RGI60-06.00377,06,2084,2084,-2.8201494216918945,-2.6827218532562256
RGI60-06.00377,06,2085,2085,-3.383327007293701,-3.2190797328948975
RGI60-06.00377,06,2086,2086,-3.262094736099243,-3.1042726039886475
RGI60-06.00377,06,2087,2087,-2.476015090942383,-2.3565573692321777
RGI60-06.00377,06,2088,2088,-4.989678382873535,-4.809500694274902
RGI60-06.00377,06,2089,2089,-1.6492339372634888,-1.5897973775863647
RGI60-06.00377,06,2090,2090,-3.2621283531188965,-3.145129442214966
RGI60-06.00377,06,2091,2091,-2.867159128189087,-2.7997679710388184
RGI60-06.00377,06,2092,2092,-3.641226291656494,-3.5564188957214355
RGI60-06.00377,06,2093,2093,-3.910735607147217,-3.820476770401001
RGI60-06.00377,06,2094,2094,-3.5768017768859863,-3.5403594970703125
RGI60-06.00377,06,2095,2095,-4.987094402313232,-4.937779426574707
RGI60-06.00377,06,2096,2096,-3.6604864597320557,-3.6730775833129883
RGI60-06.00377,06,2097,2097,-4.292081832885742,-4.308008193969727
RGI60-06.00377,06,2098,2098,-3.4360744953155518,-3.4954566955566406
RGI60-06.00377,06,2099,2099,-3.278536558151245,-3.335878372192383
RGI60-06.00377,06,2100,2100,-2.514334201812744,-2.558676242828369
RGI60-06.00443,06,2001,2001,-0.6771116852760315,-2.765376329421997
RGI60-06.00443,06,2002,2002,-0.5945845246315002,-2.429652690887451
RGI60-06.00443,06,2003,2003,-0.43385881185531616,-1.7735810279846191
RGI60-06.00443,06,2004,2004,-0.4772866368293762,-1.9519379138946533
RGI60-06.00443,06,2005,2005,-0.6136266589164734,-2.510974884033203
RGI60-06.00443,06,2006,2006,-0.3655000329017639,-1.4962202310562134
RGI60-06.00443,06,2007,2007,-0.32717248797416687,-1.3397414684295654
RGI60-06.00443,06,2008,2008,-0.34363093972206116,-1.407444715499878
RGI60-06.00443,06,2009,2009,-0.6804922819137573,-2.789140224456787
RGI60-06.00443,06,2010,2010,-0.4375413954257965,-1.7940200567245483
RGI60-06.00443,06,2011,2011,-0.891105055809021,-3.6571147441864014
RGI60-06.00443,06,2012,2012,-0.2120640128850937,-0.8703771233558655
RGI60-06.00443,06,2013,2013,-0.15840208530426025,-0.6502125859260559
RGI60-06.00443,06,2014,2014,-0.24353806674480438,-0.9998347163200378
RGI60-06.00443,06,2015,2015,-0.5104551911354065,-2.0966198444366455
RGI60-06.00443,06,2016,2016,-0.2939871549606323,-1.20780611038208
RGI60-06.00443,06,2017,2017,-0.7306897044181824,-3.0040411949157715
RGI60-06.00443,06,2018,2018,-0.7661483287811279,-3.163487672805786
RGI60-06.00443,06,2019,2019,-0.3838878571987152,-1.5855567455291748
RGI60-06.00443,06,2020,2020,-0.9723654985427856,-4.020149230957031
RGI60-06.00443,06,2021,2021,-0.9499511122703552,-3.9311583042144775
RGI60-06.00443,06,2022,2022,-0.960235595703125,-3.977487564086914
RGI60-06.00443,06,2023,2023,-0.8403623700141907,-3.483649253845215
RGI60-06.00443,06,2024,2024,-0.8725913763046265,-3.619799852371216
RGI60-06.00443,06,2025,2025,-0.7540519833564758,-3.1301462650299072
RGI60-06.00443,06,2026,2026,-0.49414774775505066,-2.0520598888397217
RGI60-06.00443,06,2027,2027,-0.7126038670539856,-2.9613852500915527
RGI60-06.00443,06,2028,2028,-0.7424337267875671,-3.0872535705566406
RGI60-06.00443,06,2029,2029,-0.6666259169578552,-2.773573875427246
RGI60-06.00443,06,2030,2030,-1.0341895818710327,-4.3069024085998535
RGI60-06.00443,06,2031,2031,-0.9868903756141663,-4.113860130310059
RGI60-06.00443,06,2032,2032,-1.044734001159668,-4.359018325805664
RGI60-06.00443,06,2033,2033,-0.8409537672996521,-3.51127552986145
RGI60-06.00443,06,2034,2034,-0.5431162118911743,-2.268620491027832
RGI60-06.00443,06,2035,2035,-0.6284577250480652,-2.626563310623169
RGI60-06.00443,06,2036,2036,-0.7672388553619385,-3.2088847160339355
RGI60-06.00443,06,2037,2037,-0.844510555267334,-3.552091598510742
RGI60-06.00443,06,2038,2038,-0.8891714811325073,-3.7429721355438232
RGI60-06.00443,06,2039,2039,-0.6751781105995178,-2.8435747623443604
RGI60-06.00443,06,2040,2040,-1.3392119407653809,-5.647496223449707
RGI60-06.00443,06,2041,2041,-1.2233484983444214,-5.164830684661865
RGI60-06.00443,06,2042,2042,-1.168747067451477,-4.938604831695557
RGI60-06.00443,06,2043,2043,-1.2906922101974487,-5.4600629806518555
RGI60-06.00443,06,2044,2044,-1.2656186819076538,-5.359777450561523
